Method,Endpoint,Service,Plan,Average Latency (ms),Successful,Blocked,Other,Total
v2 emailmarketing campaigns preview,Email Campaign Preview,Appconnect L1 - Email Campaign,Internal API Access,170.6,2,0,14,16
v2 emailmarketing campaigns schedules,Email Campaign Scheduling - Collection,Appconnect L1 - Email Campaign,Internal API Access,273.456,443,0,42,485
v2 emailmarketing campaigns schedules,Email Campaign Scheduling - Collection,Appconnect Stage - Email Campaign,Internal API Access,260.727,361,0,42,403
v2 emailmarketing campaigns schedules,Email Campaign Scheduling - Individual,Appconnect L1 - Email Campaign,Internal API Access,184.95,77,0,70,147
v2 emailmarketing campaigns schedules,Email Campaign Scheduling - Individual,Appconnect Stage - Email Campaign,Internal API Access,181.06,66,0,56,122
v2 emailmarketing campaigns tests,Email Campaign Test Send,Appconnect Stage - Email Campaign,Internal API Access,446.14,24,0,26,50
v2 emailmarketing campaigns tests,Email Campaign Test Send,Appconnect L1 - Email Campaign,Internal API Access,471.23,22,0,26,48
v2 eventspot events,Events - Collection,Appconnect Stage - Events,Internal API Access,246.523,2176,0,46,2222
v2 eventspot events,Events - Collection,Appconnect L1 - Events,Internal API Access,232.804,1065,0,38,1103
v2 eventspot events,Events - Individual,Appconnect Stage - Events,Internal API Access,206.7,14,0,11,25
v2 eventspot events,Events - Individual,Appconnect L1 - Events,Internal API Access,269.3,7,0,9,16
v2 eventspot events fees,Event Fees - Collection,Appconnect Stage - Events,Internal API Access,131.8,34,0,22,56
v2 eventspot events fees,Event Fees - Collection,Appconnect L1 - Events,Internal API Access,99.32,18,0,44,62
v2 eventspot events fees,Event Fees - Individual,Appconnect Stage - Events,Internal API Access,160,10,0,0,10
v2 eventspot events fees,Event Fees - Individual,Appconnect L1 - Events,Internal API Access,91.5,6,0,0,6
v2 eventspot events items,Event Items - Collection,Appconnect Stage - Events,Internal API Access,118.4,26,0,42,68
v2 eventspot events items,Event Items - Collection,Appconnect L1 - Events,Internal API Access,96.02,15,0,32,47
v2 eventspot events items,Event Items - Individual,Appconnect Stage - Events,Internal API Access,137.6,10,0,0,10
v2 eventspot events items,Event Items - Individual,Appconnect L1 - Events,Internal API Access,131,5,0,0,5
v2 eventspot events items attributes,Event Item Attributes - Collection,Appconnect Stage - Events,Internal API Access,101.2,12,0,32,44
v2 eventspot events items attributes,Event Item Attributes - Individual,Appconnect Stage - Events,Internal API Access,136,6,0,0,6
v2 eventspot events items attributes,Event Item Attributes - Collection,Appconnect L1 - Events,Internal API Access,92.27,6,0,38,44
v2 eventspot events items attributes,Event Item Attributes - Individual,Appconnect L1 - Events,Internal API Access,123,3,0,0,3
v2 eventspot events promocodes,Event Promocodes - Collection,Appconnect Stage - Events,Internal API Access,114.6,28,0,40,68
v2 eventspot events promocodes,Event Promocodes - Individual,Appconnect Stage - Events,Internal API Access,143.6,14,0,0,14
v2 eventspot events promocodes,Event Promocodes - Collection,Appconnect L1 - Events,Internal API Access,91.18,10,0,34,44
v2 eventspot events promocodes,Event Promocodes - Individual,Appconnect L1 - Events,Internal API Access,98.7,6,0,0,6
v2 eventspot events registrants,Event Registrants - Collection,Appconnect Stage - Events,Internal API Access,250,2,0,0,2
v2 eventspot events registrants,Event Registrants - Collection,Appconnect L1 - Events,Internal API Access,130,1,0,0,1
v2 library files,My Library files collection,AppConnect Production,Internal API Access,116.553,600426,0,253,600679
v2 library files,My library files resource,AppConnect Production,Internal API Access,103.183,5887,0,0,5887
v2 library files,My Library files collection,AppConnect Production,Standard API Access,161.432,941,1,8,950
v2 library files,My library files resource,AppConnect Production,Standard API Access,96.262,625,0,1392,2017
v2 library files,MyLibrary Files Collection,Appconnect Stage - MyLibrary,Internal API Access,241.971,430,0,16,446
v2 library files,MyLibrary Files Collection,Appconnect L1 - MyLibrary,Internal API Access,190.43,180,0,2,182
v2 library files,MyLibrary File Resource,Appconnect Stage - MyLibrary,Internal API Access,117.2,48,0,16,64
v2 library files,MyLibrary File Resource,Appconnect L1 - MyLibrary,Internal API Access,113,4,0,2,6
v2 library files uploadstatus,MyLibrary FileUpload Status,Appconnect Stage - MyLibrary,Internal API Access,102.23,193,0,2,195
v2 library files uploadstatus,MyLibrary FileUpload Status,Appconnect L1 - MyLibrary,Internal API Access,132.76,186,0,0,186
v2 library folders,My library folders collection,AppConnect Production,Internal API Access,104.163,94226,0,316,94542
v2 library folders,MyLibrary Folder Collection,Appconnect Stage - MyLibrary,Internal API Access,96.617,1201,0,6,1207
v2 library folders,MyLibrary Folder Collection,Appconnect L1 - MyLibrary,Internal API Access,82.93,541,0,3,544
v2 library folders,MyLibrary Folder Resource,Appconnect Stage - MyLibrary,Internal API Access,88.811,94,0,38,132
v2 library folders,My library folder resource,AppConnect Production,Internal API Access,133,74,0,0,74
v2 library folders,My library folders collection,AppConnect Production,Standard API Access,95.41,50,0,1,51
v2 library folders,MyLibrary Folder Resource,Appconnect L1 - MyLibrary,Internal API Access,69.88,48,0,24,72
v2 library folders,My library folder resource,AppConnect Production,Standard API Access,102.4,10,0,4,14
v2 library folders files,MyLibrary Files Collection for a FolderID,Appconnect Stage - MyLibrary,Internal API Access,83.4,4,0,4,8
v2 library folders trash files,MyLibrary Folders Trash Files,Appconnect Stage - MyLibrary,Internal API Access,116.7,12,0,0,12
v2 library info,MyLibrary Info,AppConnect Production,Internal API Access,400.79,104,0,0,104
v2 library info,MyLibrary Usage Information,Appconnect Stage - MyLibrary,Internal API Access,269.1,10,0,0,10
v2 library info,MyLibrary Usage Information,Appconnect L1 - MyLibrary,Internal API Access,468.5,4,0,0,4
v2 library info,MyLibrary Info,AppConnect Production,Standard API Access,220,2,0,0,2
v2 lists,Contact List Resource,AppConnect Production,Partner API Access - for Partners ONLY,188.47,16472783,175,681494,17154452
v2 lists,Contact Lists Collection,AppConnect Production,Partner API Access - for Partners ONLY,260.03,1218125,2596,8398,1229119
v2 lists,Contact Lists Collection,AppConnect Production,Standard API Access,211.742,1196314,242814,196901,1636029
v2 lists,Contact List Resource,AppConnect Production,Standard API Access,579.625,338219,169660,42431,550310
v2 lists,Contact Lists Collection,AppConnect Production,Internal API Access,237.114,209819,0,13551,223370
v2 lists,Contact Lists - Collection,AppConnect Stage - Contacts,Internal API Access,256.911,6197,0,94,6291
v2 lists,Contact Lists - Collection,AppConnect L1 - Contacts,Internal API Access,300.4,4590,0,104,4694
v2 lists,Contact Lists - Individual,AppConnect Stage - Contacts,Internal API Access,180.761,868,0,102,970
v2 lists,Contact List Resource,AppConnect Production,Internal API Access,190.29,86,0,1,87
v2 lists,Contact Lists - Individual,AppConnect L1 - Contacts,Internal API Access,146.22,85,0,120,205
v2 lists,Contact Lists - Collection,AppConnect F1 - Contacts,Internal API Access,314.11,46,0,0,46
v2 lists,Contact Lists - Collection,AppConnect D1 - Contacts,Internal API Access,958.11,35,0,0,35
v2 lists,Contact Lists - Individual,AppConnect F1 - Contacts,Internal API Access,240.1,9,0,0,9
v2 lists,Contact Lists - Individual,AppConnect D1 - Contacts,Internal API Access,952.6,7,0,0,7
v2 lists contacts,Contact List Membership,AppConnect Stage - Contacts,Internal API Access,305.98,94,0,28,122
v2 lists contacts,Contact List Membership,AppConnect L1 - Contacts,Internal API Access,323.94,60,0,26,86
v2 lists encodedlistmembers,Contact List Encoded List Members,AppConnect L1 - Contacts,Internal API Access,229,24,0,4,28
v2 lists encodedlistmembers,Contact List Encoded List Members,AppConnect Stage - Contacts,Internal API Access,288,12,0,2,14
v2 partner accounts,Partner Accounts,AppConnect Production,Partner API Access - for Partners ONLY,241.255,353,0,336,689
v2 partner accounts,Partner Accounts,AppConnect Production,Internal API Access,397.006,312,0,229,541
v2 partner accounts,Partner Accounts,Appconnect L1 - Partner,Internal API Access,437.959,208,0,183,391
v2 partner accounts,Partner Accounts,Appconnect Stage - Partner,Internal API Access,391.01,82,0,88,170
v2 partner accounts,Partner Account Resource,AppConnect Production,Partner API Access - for Partners ONLY,389.6,13,0,10,23
v2 partner accounts,Partner Accounts,Appconnect Stage - Partner,Non-Partner Internal API Access,17,0,2,0,2
v2 partner accounts plan,Partner Account Resource,AppConnect Production,Internal API Access,367.498,320134,0,3175,323309
v2 partner accounts plan,Partner Account Resource,Appconnect Stage - Partner,Internal API Access,569.544,116,0,88,204
v2 partner accounts plan,Partner Account Resource,Appconnect L1 - Partner,Internal API Access,999.973,71,0,39,110
v2 partner accounts plan,Partner Account Resource,AppConnect Production,Partner API Access - for Partners ONLY,6688.45,18,0,13,31
v2 partner accounts status,Partner Account Resource,AppConnect Production,Internal API Access,248.533,228,0,3880,4108
v2 partner accounts status,Partner Account Resource,AppConnect Production,Partner API Access - for Partners ONLY,118.104,21,0,5202,5223
v2 partner accounts status,Partner Account Resource,Appconnect Stage - Partner,Internal API Access,519.68,20,0,8,28
v2 partner accounts status,Partner Account Resource,Appconnect L1 - Partner,Internal API Access,136.2,10,0,20,30
v2 signupform,Signup Form,Appconnect Production - Signup Form,Internal API Access,183.86,162,0,4,166
v2 signupform,Signup Form,Appconnect L1 - Signup Form,Internal API Access,212.9,28,0,40,68
v2 signupform,SIgnup Form,Appconnect Stage - Signup Form,Internal API Access,175.3,14,0,32,46
v2 signupform,Signup Form,Appconnect Production - Signup Form,Standard API Access,225.4,3,0,2,5
v2 signupform,Signup Form,Appconnect Production - Signup Form,Partner API Access - for Partners ONLY,1012,1,0,0,1
webhooks partner topics,API-ANS Topic Id,API-ANS Stage - Topics,Internal API Access,111.7,0,0,22,22
